country,n_beers,avg_abv,max_abv_beer,max_abv_brewery,max_abv,best_beer,best_brewery,best_beer_score,popular_beer,popular_brewery,popularity,n_beers_IPA,avg_abv_IPA,max_abv_beer_IPA,max_abv_brewery_IPA,max_abv_IPA,best_beer_IPA,best_brewery_IPA,best_beer_score_IPA,popular_beer_IPA,popular_brewery_IPA,popularity_IPA,n_beers_Lager,avg_abv_Lager,max_abv_beer_Lager,max_abv_brewery_Lager,max_abv_Lager,best_beer_Lager,best_brewery_Lager,best_beer_score_Lager,popular_beer_Lager,popular_brewery_Lager,popularity_Lager,n_beers_Ale,avg_abv_Ale,max_abv_beer_Ale,max_abv_brewery_Ale,max_abv_Ale,best_beer_Ale,best_brewery_Ale,best_beer_score_Ale,popular_beer_Ale,popular_brewery_Ale,popularity_Ale,n_beers_Stout,avg_abv_Stout,max_abv_beer_Stout,max_abv_brewery_Stout,max_abv_Stout,best_beer_Stout,best_brewery_Stout,best_beer_score_Stout,popular_beer_Stout,popular_brewery_Stout,popularity_Stout,n_beers_Pilsner,avg_abv_Pilsner,max_abv_beer_Pilsner,max_abv_brewery_Pilsner,max_abv_Pilsner,best_beer_Pilsner,best_brewery_Pilsner,best_beer_score_Pilsner,popular_beer_Pilsner,popular_brewery_Pilsner,popularity_Pilsner,n_beers_Porter,avg_abv_Porter,max_abv_beer_Porter,max_abv_brewery_Porter,max_abv_Porter,best_beer_Porter,best_brewery_Porter,best_beer_score_Porter,popular_beer_Porter,popular_brewery_Porter,popularity_Porter,n_beers_Fruit,avg_abv_Fruit,max_abv_beer_Fruit,max_abv_brewery_Fruit,max_abv_Fruit,best_beer_Fruit,best_brewery_Fruit,best_beer_score_Fruit,popular_beer_Fruit,popular_brewery_Fruit,popularity_Fruit,n_beers_Roggenbier,avg_abv_Roggenbier,max_abv_beer_Roggenbier,max_abv_brewery_Roggenbier,max_abv_Roggenbier,best_beer_Roggenbier,best_brewery_Roggenbier,best_beer_score_Roggenbier,popular_beer_Roggenbier,popular_brewery_Roggenbier,popularity_Roggenbier,n_beers_Herb,avg_abv_Herb,max_abv_beer_Herb,max_abv_brewery_Herb,max_abv_Herb,best_beer_Herb,best_brewery_Herb,best_beer_score_Herb,popular_beer_Herb,popular_brewery_Herb,popularity_Herb,n_beers_Smoke,avg_abv_Smoke,max_abv_beer_Smoke,max_abv_brewery_Smoke,max_abv_Smoke,best_beer_Smoke,best_brewery_Smoke,best_beer_score_Smoke,popular_beer_Smoke,popular_brewery_Smoke,popularity_Smoke,n_beers_Barleywine,avg_abv_Barleywine,max_abv_beer_Barleywine,max_abv_brewery_Barleywine,max_abv_Barleywine,best_beer_Barleywine,best_brewery_Barleywine,best_beer_score_Barleywine,popular_beer_Barleywine,popular_brewery_Barleywine,popularity_Barleywine
PT,338.0,6.446597633136094,Letra / Mean Sardine / Lervig - Barleywine - Port Barrel-Aged,Letra - Cerveja Artesanal Minhota,13.0,Passarola IPA,Passarola Brewing,3.7455555555555557,Super Bock,Unicer União Cervejeira S.A.,391.0,50.0,6.654,Hoppy Osbourne,Cerveja Independente Musa,9.2,Passarola IPA,Passarola Brewing,3.7455555555555557,Sovina IPA,Os Três Cervejeiros,16.0,45.0,5.177777777777778,Super Bock Scottish Smoked Lager,Unicer União Cervejeira S.A.,7.5,Bohemia 1835,Sociedade Central de Cervejas,3.440909090909091,Super Bock,Unicer União Cervejeira S.A.,391.0,85.0,6.472941176470589,Nemesis,Amphora Cerveja Artesanal,13.0,Voragem,Mean Sardine Brewery,3.7222222222222223,Sovina IPA,Os Três Cervejeiros,16.0,45.0,7.849999999999999,Hot Cherry,Amnesia Brewery,13.0,Mean Sardine / De Molen Ginja Ninja,Mean Sardine Brewery,3.605,Sovina Stout,Os Três Cervejeiros,9.0,11.0,5.136363636363637,Pilsner,DUX Beer,6.0,Maldita Bohemian Pilsner,"Faustino – Microcervejeira, Lda.",3.12,B,Letra - Cerveja Artesanal Minhota,5.0,11.0,6.818181818181818,Passarola / Aroeira / Bolina 1/4 Escuro,Passarola Brewing,11.9,Finisterra,Dois Corvos Cervejeira,3.4691666666666663,Finisterra,Dois Corvos Cervejeira,10.0,10.0,6.39,Editions On Oak - Portugese Barrel Aged Grape Ale,Letra - Cerveja Artesanal Minhota,12.0,Italian Grape Ale,Luzia,3.103333333333333,Sagres Radler,Sociedade Central de Cervejas,5.0,1.0,6.0,Passarola Amber Rye Ale,Passarola Brewing,6.0,Passarola Amber Rye Ale,Passarola Brewing,2.8633333333333333,Passarola Amber Rye Ale,Passarola Brewing,1.0,5.0,6.840000000000001,Sovina Natal,Os Três Cervejeiros,10.0,Sovina Atlântica,Os Três Cervejeiros,3.1375,A Walk In Madeira,Mean Sardine Brewery,4.0,2.0,6.35,Juniper Smokin',Amnesia Brewery,6.7,Juniper Smokin',Amnesia Brewery,3.0533333333333332,Barbarians Rising,Dois Corvos Cervejeira,2.0,11.0,9.936363636363636,Letra / Mean Sardine / Lervig - Barleywine - Port Barrel-Aged,Letra - Cerveja Artesanal Minhota,13.0,Letra / Mean Sardine / Lervig - Barleywine - Port Barrel-Aged,Letra - Cerveja Artesanal Minhota,3.6650000000000005,Maldita English Barleywine,"Faustino – Microcervejeira, Lda.",8.0
RO,370.0,5.730945945945947,Old Superior Ale - Beer With Me!,S. C. Martens S. A.,15.0,Crowd Control,Hop Hooligans,4.008421052631579,Ursus Premium,Ursus S.A. (SAB) / Compania de Bere Romania,105.0,88.0,6.4375000000000036,Zăganu 500 Imperial IPA,Fabrica de Bere Bună,10.0,Crowd Control,Hop Hooligans,4.008421052631579,Morning Glory,Ground Zero Beer,20.0,82.0,5.035365853658536,Csíki Mezes Sör,Csíki Sör Manufaktúra S.C. (Lixid Project Srl.),9.0,Zăganu Brună,Fabrica de Bere Bună,3.4475000000000007,Ursus Premium,Ursus S.A. (SAB) / Compania de Bere Romania,105.0,64.0,5.662187499999998,Noaptea Mâței,Capra Noastră,11.0,Summer Punch,Hop Hooligans,3.7346153846153842,IPA,Bere Artizanală Sikaru,19.0,17.0,8.552941176470586,Ticket To The Stars,Ground Zero Beer,12.0,Wicked Barrel / Bereta The Black Pot,Wicked Barrel,3.936,Stout,Bere Artizanală Sikaru,13.0,27.0,5.018518518518518,Igazi Csíki Sör,Csíki Sör Manufaktúra S.C. (Lixid Project Srl.),6.0,Timisoreana Lux Premium Pils,Ursus S.A. (SAB) / Compania de Bere Romania,3.1544444444444446,Ciuc Premium,Miercurea Ciuc (Brau Union Romania),58.0,9.0,5.93,Wicked Barrel Piece of Cake,Wicked Barrel,11.5,Cannon Fire,Hop Hooligans,3.8507142857142855,Cannon Fire,Hop Hooligans,12.0,16.0,3.059375,Fulg de Ea,Cosmospolit / Bere A La Cluj,6.0,GRoZava,Hophead Brewing,3.2950000000000004,GRoZava,Hophead Brewing,4.0,,,,,,,,,,,,4.0,4.525,Meron Cascara,Kutuma,6.2,Sencha,Hop Hooligans,3.6600000000000006,Sencha,Hop Hooligans,9.0,1.0,9.0,Hop Hooligans / Sunstone - Sinking Ship,Hop Hooligans,9.0,Hop Hooligans / Sunstone - Sinking Ship,Hop Hooligans,3.597142857142857,Hop Hooligans / Sunstone - Sinking Ship,Hop Hooligans,5.0,3.0,14.133333333333333,Old Superior Ale - Beer With Me!,S. C. Martens S. A.,15.0,Melting Pot,Hop Hooligans,3.764444444444445,Super Brew 15,S. C. Martens S. A.,70.0
AR,326.0,5.983190184049081,El Centinela roble 2015,Antares,14.0,Antares India Pale Ale,Antares,3.7675,Quilmes,Cervecería y Maltería Quilmes / Grupo Bemberg,493.0,45.0,6.335555555555555,Gollum Triple IPA,Cork Brewing Company,11.0,Antares India Pale Ale,Antares,3.7675,IPA,Buller Brewing Co.,8.0,27.0,4.9,Imperial Amber Lager,CCU Argentina,5.5,Patagonia Amber Lager,Cerveceria Patagonia Primitiva S.A.,3.194285714285715,Quilmes,Cervecería y Maltería Quilmes / Grupo Bemberg,493.0,114.0,6.067719298245615,San Lunes,Finca Buena Vista Brewery,11.0,Berlina IPA,Cerveza Artesanal Berlina,3.575714285714286,Otro Mundo Strong Red Ale,Otro Mundo Brewing Company,56.0,41.0,6.039024390243903,Eisenbrucke Imperial Stout,Cerveza Artesanal Eisenbrücke,12.0,Imperial Stout,Antares,3.627692307692307,Cerveza Jerome Negra,Cerveza Jerome,30.0,11.0,5.263636363636365,Pilsen,Cerveceria Owe,6.4,Pilsen,Cerveceria Blest,3.06,Patagonia Blonde Beer,Cerveceria Patagonia Primitiva S.A.,10.0,20.0,6.075,Baltic Porter,Juguetes Perdidos (Sir Hopper) Cerveza Artesanal,9.0,Porter,Antares,3.572608695652174,Porter,Antares,21.0,12.0,5.066666666666666,Byggvir Ale,Kenningar Cerveza Artesanal,8.2,Honey Beer,Antares,3.5593333333333335,Honey Beer,Antares,13.0,,,,,,,,,,,,3.0,5.766666666666667,Kardamo,Darwin Cerveza Artesanal,7.0,Kardamo,Darwin Cerveza Artesanal,2.8200000000000003,The Mula Honey Beer,The Mula Cervezas Especiales,1.0,1.0,5.5,Finn Amber Rogen,Finn Cerveza Artesanal,5.5,Finn Amber Rogen,Finn Cerveza Artesanal,2.8733333333333335,Finn Amber Rogen,Finn Cerveza Artesanal,1.0,8.0,10.2875,El Centinela roble 2015,Antares,14.0,Antares Barleywine,Antares,3.576571428571429,Antares Barleywine,Antares,33.0
CZ,847.0,5.217756788665879,Kocour K32,Pivovar Kocour Varnsdorf,14.5,U Fleku Dark Lager,U Fleků Pivovar a Restaurace,4.201971830985915,Pilsner Urquell,Plzeňský Prazdroj,4021.0,75.0,6.563066666666666,Triple Idiot,Pivovar Falkon,10.7,Golden Rocket (Zlatá Raketa),Minipivovar Matuška Broumy (Matuska),4.081538461538462,IPA Samurai,Pivovar Kocour Varnsdorf,35.0,193.0,5.0411917098445596,X-Beer 33,Minipivovar U Medvídků,12.6,U Fleku Dark Lager,U Fleků Pivovar a Restaurace,4.201971830985915,Kozel Cerny (Kozel Dark) Velckopopovicky,Pivovar Velké Popovice a.s.,294.0,87.0,5.6517241379310335,Klášterní Special No.2 Limitovaná Edice,Pivovar U Tří Růží,9.0,Apollo Galaxy,Minipivovar Matuška Broumy (Matuska),3.8983333333333334,Primator English Pale Ale,Pivovar Náchod a.s.,47.0,25.0,6.7,Barrel Aged Imperial Stout,Minipivovar Matuška Broumy (Matuska),9.6,Břevnovský Benedict Russian Imperial Stout,Břevnovský Klášterní Pivovar,3.867,Primátor Stout,Pivovar Náchod a.s.,45.0,328.0,4.796036585365851,Zlata Bohemia,Staropilsen,12.0,Koutská 12° Dvanáctka,Pivovar Kout na Šumavě,4.162452830188679,Pilsner Urquell,Plzeňský Prazdroj,4021.0,12.0,7.166666666666667,Primátor 24° Double,Pivovar Náchod a.s.,10.0,Porter,Pardubický pivovar a.s.,3.8179661016949145,Porter,Pardubický pivovar a.s.,57.0,19.0,4.231578947368422,Krkonossky Medved Hibiscus Special 16°,"Pivovarská Bata, S.r.o.",6.8,Opat Čokoládový Speciál,Pivovar Broumov,3.627,Višňové Pivo,Pivovarský dům,14.0,1.0,7.0,Režná Bára,Pivovar Chomout,7.0,Režná Bára,Pivovar Chomout,3.285,Režná Bára,Pivovar Chomout,2.0,12.0,5.408333333333334,Don Habanero Chilli IPA,Pivovar Permon,7.6,Don Habanero Chilli IPA,Pivovar Permon,3.5439999999999996,Hemp Valley Beer,Nova Paka Brewery,6.0,3.0,4.966666666666667,Smoke Zone IPA,Pivovar Permon,6.1,Smoke Zone IPA,Pivovar Permon,3.1300000000000003,Grodziskie,Pivovarský dům,2.0,2.0,12.1,Kocour K32,Pivovar Kocour Varnsdorf,14.5,Kocour K32,Pivovar Kocour Varnsdorf,3.5,Kocour K32,Pivovar Kocour Varnsdorf,3.0
LV,176.0,5.44715909090909,Dravnieka Atraitne (Bee Keeper's Widow),Alus Darbnīca Labietis,13.0,Porteris,Aldaris,3.683058252427183,Porteris,Aldaris,204.0,13.0,6.338461538461538,Lauvas Pacietība,Malduguns,8.9,Lauvas Pacietība,Malduguns,3.646,Lauvas Pacietība,Malduguns,3.0,77.0,5.083116883116882,Lāčplēsis Dialus (Lacplesis Grand Beer),Livu Alus,7.3,Valmiermuiža Tumais (Valmiermuiža Dark),Valmiermuiža Alus,3.531538461538462,Zelta,Aldaris,70.0,25.0,5.555999999999999,Muks (Monk),Alus Darbnīca Labietis,8.3,Trīs Indiāni (Three Indians),Alus Darbnīca Labietis,3.442,Trīs Indiāni (Three Indians),Alus Darbnīca Labietis,3.0,3.0,7.633333333333333,Pelašķu Velns,Alus Darbnīca Labietis,8.8,Pelašķu Velns,Alus Darbnīca Labietis,3.4699999999999998,Pelašķu Velns,Alus Darbnīca Labietis,5.0,7.0,4.685714285714285,Lāčplēsis Staburags Gaišais,Livu Alus,5.4,Pilzenes,Aldaris,3.2433333333333336,Pilzenes,Aldaris,10.0,8.0,6.1125,Pilota Nakts,Malduguns,7.0,Porteris,Aldaris,3.683058252427183,Porteris,Aldaris,204.0,5.0,5.32,Purva Medus (Болотный Мёд),Alus Darbnīca Labietis,6.5,Aroniju Ragana (Aronia Witch),Alus Darbnīca Labietis,3.2700000000000005,Aroniju Ragana (Aronia Witch),Alus Darbnīca Labietis,3.0,,,,,,,,,,,,6.0,4.7,Melnā Pērle,Latgales Alus,5.5,Melnā Pērle,Latgales Alus,3.19,Melnā Pērle,Latgales Alus,2.0,1.0,5.5,Valmiermuiža Tumsais Dumalus (Dark Smoked Beer),Valmiermuiža Alus,5.5,Valmiermuiža Tumsais Dumalus (Dark Smoked Beer),Valmiermuiža Alus,3.0825,Valmiermuiža Tumsais Dumalus (Dark Smoked Beer),Valmiermuiža Alus,2.0,1.0,11.4,Pokainu Mezs (Magic Forest),Alus Darbnīca Labietis,11.4,Pokainu Mezs (Magic Forest),Alus Darbnīca Labietis,3.6420000000000003,Pokainu Mezs (Magic Forest),Alus Darbnīca Labietis,3.0
NZ,1154.0,6.092313691507794,Bumeye Ice Distiled,8 Wired Brewing Co.,27.24,Batch 31 Barrel Aged Imperial Stout With Coffee,8 Wired Brewing Co.,4.206931818181818,Moa Imperial Stout (Aged In Pinot Noir Barrels),Moa Brewing Company,529.0,206.0,6.623203883495149,Mecha-Hop,Garage Project,10.0,Epic Hop Zombie,Epic Brewing Company,4.206887159533072,Hopwired,8 Wired Brewing Co.,355.0,89.0,4.724719101123594,Harrington's Ngahere Gold,Harringtons Brewery,7.5,Moa Noir,Moa Brewing Company,3.6840298507462683,Steinlager,New Zealand Breweries Limited,442.0,384.0,5.8022135416666645,Bastard Rye,Garage Project,14.0,8 Wired / Renaissance / Nøgne Ø Ø For Awesome,8 Wired Brewing Co.,3.9772499999999993,Pot Kettle Black,Yeastie Boys,189.0,99.0,7.029999999999999,Bumaye 2013 (Pinot Noir Barrel Aged),8 Wired Brewing Co.,16.0,Batch 31 Barrel Aged Imperial Stout With Coffee,8 Wired Brewing Co.,4.206931818181818,Moa Imperial Stout (Aged In Pinot Noir Barrels),Moa Brewing Company,529.0,86.0,5.588372093023256,Chateau Aro,Garage Project,11.0,Organic Pilsner,The Emerson Brewing Company,4.064444444444444,Moa Methode,Moa Brewing Company,109.0,53.0,6.427169811320756,Cockswains Courage Blended Porter,Garage Project,10.5,Elemental,Renaissance Brewing,3.931792452830188,Elemental,Renaissance Brewing,104.0,23.0,5.800000000000002,Moa Ten Year Beer,Moa Brewing Company,10.5,"Sauvin Nouveau (8,5%)",Garage Project,3.5077777777777777,Moa Breakfast,Moa Brewing Company,225.0,7.0,5.871428571428572,Garage Project / Nøgne Ø Summer Sommer,Garage Project,7.6,Porter's Rye Ale,Kaimai Brewing Co.,3.368,Porter's Rye Ale,Kaimai Brewing Co.,13.0,20.0,5.025,Venusian Pale Ale,Garage Project,7.3,Venusian Pale Ale,Garage Project,3.6961904761904765,Venusian Pale Ale,Garage Project,19.0,10.0,6.890000000000001,Barrel Aged Smoked Imperial Porter,8 Wired Brewing Co.,11.0,The Big Smoke,8 Wired Brewing Co.,3.8229032258064515,The Big Smoke,8 Wired Brewing Co.,153.0,17.0,11.13529411764706,Enrico's Cure,Green Man Brewery,14.5,Lord Of The Atlas - Oak Aged,8 Wired Brewing Co.,4.058,Tribute,Renaissance Brewing,34.0
PY,1.0,5.0,Pilsen Paraguaya,Cerveceria Korok,5.0,Pilsen Paraguaya,Cerveceria Korok,2.5966666666666667,Pilsen Paraguaya,Cerveceria Korok,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Pilsen Paraguaya,Cerveceria Korok,5.0,Pilsen Paraguaya,Cerveceria Korok,2.5966666666666667,Pilsen Paraguaya,Cerveceria Korok,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,220.0,5.983181818181817,Foxy Lady,Cerveza Granizo,12.1,Kross 5,Kross Microbrew Beer (Southern Brewing Company),3.876666666666667,Torobayo Pale Ale,"Compania Cervecera Kunstmann, S.A.",39.0,26.0,6.326923076923078,Luptopia,Cervecería Jester,9.0,Luptopia,Cervecería Jester,3.64,Brutal Hops,Microcervecería Rothhammer (Handwerk Brewers Chile S.A.),4.0,17.0,5.0176470588235285,Wallmapu Lager,Compañía Cervecera Yellow Sea (Grassau),6.5,Kunstmann Anwandter Edel Lager,"Compania Cervecera Kunstmann, S.A.",3.54,Kross Golden Ale,Kross Microbrew Beer (Southern Brewing Company),28.0,97.0,5.861855670103094,Berner Martina Strong Ale,Cervecería H. Berner,10.5,Kross 5,Kross Microbrew Beer (Southern Brewing Company),3.876666666666667,Torobayo Pale Ale,"Compania Cervecera Kunstmann, S.A.",39.0,29.0,6.982758620689655,Belzeboo,Cerveza Bundor,11.0,Quimera Imperial Stout,Casa Cervecera Quinta Normal S.A.,3.505555555555556,Quimera Imperial Stout,Casa Cervecera Quinta Normal S.A.,34.0,6.0,5.95,Rothhammer Politik Kills Double Imperial Pilsner,Microcervecería Rothhammer (Handwerk Brewers Chile S.A.),9.0,Rothhammer Politik Kills Double Imperial Pilsner,Microcervecería Rothhammer (Handwerk Brewers Chile S.A.),3.31,Kross Pilsner,Kross Microbrew Beer (Southern Brewing Company),14.0,10.0,5.7,Porter,Cervezas Fractal,7.0,Piedras Negras,Cerveceria Artesanal Petermann,3.1075,Piedras Negras,Cerveceria Artesanal Petermann,2.0,4.0,4.9,Calafate,Cervecería Austral S.A.,5.0,Kunstmann Heidelbeere,"Compania Cervecera Kunstmann, S.A.",3.468571428571429,Calafate,Cervecería Austral S.A.,22.0,,,,,,,,,,,,2.0,3.9,Honig Ale,"Compania Cervecera Kunstmann, S.A.",4.8,Honig Ale,"Compania Cervecera Kunstmann, S.A.",3.1550000000000002,Honig Ale,"Compania Cervecera Kunstmann, S.A.",12.0,1.0,5.5,Tübinger Little Dark Mystery Smoked Porter,Cerveceria Principal (Tubinger),5.5,Tübinger Little Dark Mystery Smoked Porter,Cerveceria Principal (Tubinger),2.9166666666666665,Tübinger Little Dark Mystery Smoked Porter,Cerveceria Principal (Tubinger),1.0,5.0,9.459999999999999,Symphony,Cervecería Coda,10.0,Rothhammer Cosmos Barley Wine,Microcervecería Rothhammer (Handwerk Brewers Chile S.A.),3.305,Rothhammer Cosmos Barley Wine,Microcervecería Rothhammer (Handwerk Brewers Chile S.A.),2.0
CH,604.0,6.274122516556292,Cuvée Alex Le Rouge Eisbock,BFM (Brasserie des Franches-Montagnes),19.5,Abbaye De Saint Bon-Chien,BFM (Brasserie des Franches-Montagnes),4.320026269702274,Abbaye De Saint Bon-Chien,BFM (Brasserie des Franches-Montagnes),1140.0,50.0,6.884600000000002,Bad Attitude Mad Saison,Birrificio Ticinese,12.0,India Pale Ale,Brasserie Trois Dames,3.7335483870967736,Bad Attitude Hobo IPA,Birrificio Ticinese,32.0,90.0,5.0011111111111095,Brewmaster Editions Golden Honey Ale,Doppelleu Brauwerkstatt,8.0,Schwarzer Kristall,Brauerei Locher AG,4.079750000000001,Feldschlossen Original Lager,Feldschlösschen Beverages Group,90.0,136.0,6.304191176470589,Swiss Cowl,White Frontier Brewery,12.0,L'Amoureuse Rouge,Brasserie Trois Dames,3.996172839506172,Douze,BFM (Brasserie des Franches-Montagnes),133.0,33.0,6.916666666666667,Cuvée Alex Le Rouge (Jurassian Imperial Stout),BFM (Brasserie des Franches-Montagnes),10.28,Forêt Noire (Swiss Kirsch Imperial Stout),Brasserie Trois Dames,3.685,Cuvée Alex Le Rouge (Jurassian Imperial Stout),BFM (Brasserie des Franches-Montagnes),271.0,12.0,5.418333333333333,Bad Attitude Hipster,Birrificio Ticinese,7.62,Bad Attitude Hipster,Birrificio Ticinese,3.3944999999999994,Bad Attitude Hipster,Birrificio Ticinese,18.0,13.0,6.92076923076923,Balik Beer,Brauerei Locher AG,11.0,Two Penny Porter,Birrificio Ticinese,3.751388888888888,Two Penny Porter,Birrificio Ticinese,34.0,14.0,6.128571428571427,La Fiancée Pinot Noir,Brasserie Trois Dames,8.0,Foret Noir,Brasserie Trois Dames,3.913965517241379,Foret Noir,Brasserie Trois Dames,56.0,,,,,,,,,,,,26.0,5.64,Cannabis Power,Eurobräu GmbH,8.0,La Meule,BFM (Brasserie des Franches-Montagnes),3.700125786163523,La Meule,BFM (Brasserie des Franches-Montagnes),157.0,6.0,5.599999999999999,Tarry Suchong,BFM (Brasserie des Franches-Montagnes),6.0,Biere Ambree Parfumee Au Tarry Suchong,BFM (Brasserie des Franches-Montagnes),3.9417647058823526,Tarry Suchong,BFM (Brasserie des Franches-Montagnes),53.0,7.0,10.504285714285714,Siren,Storm & Anchor Brewing Company,13.0,Spike & Jérôme’s Cuvée Délirante (Collaboration Ale),BFM (Brasserie des Franches-Montagnes),3.3614146341463407,Spike & Jérôme’s Cuvée Délirante (Collaboration Ale),BFM (Brasserie des Franches-Montagnes),203.0
UA,342.0,5.495614035087714,Qadro Stout (NAFTA),Mad Brewlads Craft Co.,20.0,Lvivske White Lion,Lvivska Pivovarnya (BBH),3.668,Obolon Premium,Obolon Brewery,116.0,17.0,6.629411764705883,Hoptuin Bedwelmende,Mad Brewlads Craft Co.,9.5,Trudeau,Pravda Beer Theatre,3.335,Trudeau,Pravda Beer Theatre,2.0,115.0,5.153913043478262,Obolon 2000,Obolon Brewery,8.0,Robert Doms Munchensky,Lvivska Pivovarnya (BBH),3.531999999999999,Obolon Premium,Obolon Brewery,116.0,52.0,5.796153846153847,Sikary Restu Wheat Wine,Mad Brewlads Craft Co.,12.0,Chervoni Ochi,Pravda Beer Theatre,3.3383333333333334,Persha Privatna Browarnya Avtors'ke,Persha Privatna Brovariya,18.0,22.0,7.386363636363638,Qadro Stout (NAFTA),Mad Brewlads Craft Co.,20.0,Milk Stout,Varvar Brew,3.364,Obama Hope,Pravda Beer Theatre,7.0,10.0,4.709999999999999,Petros,Tsypa,5.3,Kaltenberg Pils,Sarmat,3.1375,Premium Lager,Lvivska Pivovarnya (BBH),56.0,9.0,6.244444444444444,Lvivske Porter,Lvivska Pivovarnya (BBH),8.0,Obolon Porter,Obolon Brewery,3.4381818181818184,Obolon Porter,Obolon Brewery,31.0,17.0,3.829411764705883,Sour Soul Kriek Style,Mad Brewlads Craft Co.,5.6,Cherry Charivari,Mad Brewlads Craft Co.,3.0,Obolon Beer Mix Lemon,Obolon Brewery,4.0,1.0,6.5,Ruddy Baker,Mad Brewlads Craft Co.,6.5,Ruddy Baker,Mad Brewlads Craft Co.,3.0833333333333335,Ruddy Baker,Mad Brewlads Craft Co.,1.0,14.0,5.6499999999999995,Novorichne 2015,Mykulynetskyj Brovar - Mykulinetske,7.0,Bila Nich,Chernigivske Pivokombinat,3.456666666666666,Bila Nich,Chernigivske Pivokombinat,19.0,1.0,6.5,Smoky Prune,Mad Brewlads Craft Co.,6.5,,,,,,,2.0,10.8,Nordic Whine,Mad Brewlads Craft Co.,12.0,Pravda 400 Varka,Pravda Beer Theatre,2.966666666666667,Pravda 400 Varka,Pravda Beer Theatre,1.0
CN,282.0,5.3840425531914855,HMS Quad Loko,Slow Boat Brewery Brewpub,13.6,TKO IPA,Boxing Cat Brewery,3.8470588235294123,Tsingtao,"Tsingtao Brewery Co., Ltd.",1793.0,27.0,6.724074074074074,Slutty Mermaid Triple IPA,Slow Boat Brewery Brewpub,10.0,TKO IPA,Boxing Cat Brewery,3.8470588235294123,TKO IPA,Boxing Cat Brewery,15.0,84.0,4.045238095238097,Yanjing 12º Premium Extra,Beijing Yanjing Beer Group Corporation,5.5,Lucky 8 Lager,Jing-A (京A) Brewing Co.,3.38,Tsingtao,"Tsingtao Brewery Co., Ltd.",1793.0,53.0,5.693396226415095,Hutong Clan,Jing-A (京A) Brewing Co.,9.0,Sucker Punch Pale Ale,Boxing Cat Brewery,3.6833333333333336,Pabst Blue Ribbon 1844,Guangdong Blue Ribbon Group,23.0,26.0,6.876923076923077,Bourbon Barrel Aged King Louie Imperial Stout,Boxing Cat Brewery,9.9,Sea Anchor Imperial Vanilla Stout,Slow Boat Brewery Brewpub,3.6914285714285713,Tsingtao Stout,"Tsingtao Brewery Co., Ltd.",48.0,9.0,4.927777777777778,Stone Boat Pilsner,Slow Boat Brewery Brewpub,6.0,People's Pilsner,Shanghai Brewery,3.30875,People's Pilsner,Shanghai Brewery,6.0,14.0,6.039285714285714,Sugar Daddy,Boxing Cat Brewery,10.5,Sugar Daddy,Boxing Cat Brewery,3.548571428571428,Blue Diamond Stout,Guangdong Blue Ribbon Group,8.0,7.0,4.171428571428572,Huell Melon Single Hop,Boxing Cat Brewery,5.8,Huell Melon Single Hop,Boxing Cat Brewery,3.515,Pineapple Juice Beer,Yanjing Pijiu (Guilin Liquan) Gufen Youxian Gongsi,7.0,,,,,,,,,,,,7.0,6.0,Cinnamon Rock Ale,Great Leap Brewery,6.5,Honey Ma Gold,Great Leap Brewery,3.39,Honey Ma Gold,Great Leap Brewery,7.0,3.0,5.516666666666667,Rauch Amber Smoked Ale,Shanghai Brewery,5.8,Guizhou Smoked Chili Porter,Jing-A (京A) Brewing Co.,2.965,Guizhou Smoked Chili Porter,Jing-A (京A) Brewing Co.,2.0,4.0,11.075,Cognac Barrel Aged Bare Knuckle Barleywine,Boxing Cat Brewery,13.2,Bare Knuckle Barleywine,Boxing Cat Brewery,3.6785714285714284,Bare Knuckle Barleywine,Boxing Cat Brewery,5.0
KZ,41.0,4.875609756097561,Derbes Strong,"TOO Kompaniya Ak-Nar (""Derbes"")",7.5,Shimkentskoye Dark,Shimkentsira,3.0,Alma Ata Pilsner,"TOO Kompaniya Ak-Nar (""Derbes"")",3.0,,,,,,,,,,,,32.0,4.953125,Derbes Strong,"TOO Kompaniya Ak-Nar (""Derbes"")",7.5,Shimkentskoye Dark,Shimkentsira,3.0,Karagandinskoye Svetloye,Efes Karaganda Pivovarinniy Zavod,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,4.5,Shimkentskoye Pilsner,Shimkentsira,4.8,Erstes Platinovoye,Chastnaya Pivovarnya Erstes,2.72,Alma Ata Pilsner,"TOO Kompaniya Ak-Nar (""Derbes"")",3.0,,,,,,,,,,,,1.0,4.0,Tian-Shan Apple Beer,TOO Dinal,4.0,Tian-Shan Apple Beer,TOO Dinal,2.5566666666666666,Tian-Shan Apple Beer,TOO Dinal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
