country,n_beers,avg_abv,max_abv_beer,max_abv_brewery,max_abv,best_beer,best_brewery,best_beer_score,popular_beer,popular_brewery,popularity,n_beers_IPA,avg_abv_IPA,max_abv_beer_IPA,max_abv_brewery_IPA,max_abv_IPA,best_beer_IPA,best_brewery_IPA,best_beer_score_IPA,popular_beer_IPA,popular_brewery_IPA,popularity_IPA,n_beers_Lager,avg_abv_Lager,max_abv_beer_Lager,max_abv_brewery_Lager,max_abv_Lager,best_beer_Lager,best_brewery_Lager,best_beer_score_Lager,popular_beer_Lager,popular_brewery_Lager,popularity_Lager,n_beers_Ale,avg_abv_Ale,max_abv_beer_Ale,max_abv_brewery_Ale,max_abv_Ale,best_beer_Ale,best_brewery_Ale,best_beer_score_Ale,popular_beer_Ale,popular_brewery_Ale,popularity_Ale,n_beers_Stout,avg_abv_Stout,max_abv_beer_Stout,max_abv_brewery_Stout,max_abv_Stout,best_beer_Stout,best_brewery_Stout,best_beer_score_Stout,popular_beer_Stout,popular_brewery_Stout,popularity_Stout,n_beers_Pilsner,avg_abv_Pilsner,max_abv_beer_Pilsner,max_abv_brewery_Pilsner,max_abv_Pilsner,best_beer_Pilsner,best_brewery_Pilsner,best_beer_score_Pilsner,popular_beer_Pilsner,popular_brewery_Pilsner,popularity_Pilsner,n_beers_Porter,avg_abv_Porter,max_abv_beer_Porter,max_abv_brewery_Porter,max_abv_Porter,best_beer_Porter,best_brewery_Porter,best_beer_score_Porter,popular_beer_Porter,popular_brewery_Porter,popularity_Porter,n_beers_Fruit,avg_abv_Fruit,max_abv_beer_Fruit,max_abv_brewery_Fruit,max_abv_Fruit,best_beer_Fruit,best_brewery_Fruit,best_beer_score_Fruit,popular_beer_Fruit,popular_brewery_Fruit,popularity_Fruit,n_beers_Roggenbier,avg_abv_Roggenbier,max_abv_beer_Roggenbier,max_abv_brewery_Roggenbier,max_abv_Roggenbier,best_beer_Roggenbier,best_brewery_Roggenbier,best_beer_score_Roggenbier,popular_beer_Roggenbier,popular_brewery_Roggenbier,popularity_Roggenbier,n_beers_Herb,avg_abv_Herb,max_abv_beer_Herb,max_abv_brewery_Herb,max_abv_Herb,best_beer_Herb,best_brewery_Herb,best_beer_score_Herb,popular_beer_Herb,popular_brewery_Herb,popularity_Herb,n_beers_Smoke,avg_abv_Smoke,max_abv_beer_Smoke,max_abv_brewery_Smoke,max_abv_Smoke,best_beer_Smoke,best_brewery_Smoke,best_beer_score_Smoke,popular_beer_Smoke,popular_brewery_Smoke,popularity_Smoke,n_beers_Barleywine,avg_abv_Barleywine,max_abv_beer_Barleywine,max_abv_brewery_Barleywine,max_abv_Barleywine,best_beer_Barleywine,best_brewery_Barleywine,best_beer_score_Barleywine,popular_beer_Barleywine,popular_brewery_Barleywine,popularity_Barleywine
US,234922.0,6.712534628514818,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),29.0,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,4.83109375,Breakfast Stout,Founders Brewing Company,17160.0,53848.0,7.176774624870054,Muck City,Village Idiot Brewing Company,29.0,King Julius,Tree House Brewing Company,4.73157602663707,90 Minute IPA,Dogfish Head Craft Brewery,15947.0,6400.0,5.234853125000011,Massacre - Mexican Hot Chocolate,Wolverine State Brewing Company,14.7,Triple Dry Hopped Hoponius Union,Jack's Abby Brewing,4.338709677419353,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),9433.0,73536.0,6.231794359225539,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),29.0,R&D Sour Fruit (Very Sour Blackberry),New Glarus Brewing Company,4.747678571428572,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,11628.0,25429.0,8.300845491368221,Bo's Solar Eclipse Imperial Stout,Bo's Brewery & Bistro,22.5,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,4.83109375,Breakfast Stout,Founders Brewing Company,17160.0,3910.0,5.45629156010231,6:56 (2014) - Summer Pilsner Fusion,Element Brewing Company,15.25,Kiwi Rising - Double IPL,Jack's Abby Brewing,4.305482600131321,Prima Pils,Victory Brewing Company - Downingtown,5357.0,10379.0,6.812947297427519,Besht,Dick's Brewing Company,20.0,Morning Wood,Funky Buddha Brewery,4.644599078341012,Porter,Founders Brewing Company,7614.0,4491.0,5.734168336673344,Apricaustic,Hourglass Brewing,18.3,Coolship Red,Allagash Brewing Company,4.475367316341828,#9,Magic Hat Brewing Company,5802.0,2066.0,6.383305905130705,Rye on Rye on Rye on Rye,Boulevard Brewing Co.,15.5,Rye On Rye On Rye,Boulevard Brewing Co.,4.315390946502056,Red's Rye IPA,Founders Brewing Company,5279.0,1544.0,6.303011658031091,Barrel Aged Not Your Father's Root Beer (24%),Small Town Brewery,24.0,Not Your Father's Root Beer (19.5%),Small Town Brewery,4.444615384615384,Midas Touch,Dogfish Head Craft Brewery,4944.0,1058.0,6.2578355387523645,Smoking Wood - Rye Barrel-Aged,The Bruery,14.0,Toppling Goliath / Cycle Chain Smoker,Toppling Goliath Brewing Company,4.3783206106870205,Smoked Porter,Stone Brewing,4203.0,3209.0,10.831299470239943,The Hedge Hog,Hailstorm Brewing Co.,20.0,King Henry,Goose Island Beer Co.,4.704795713328878,Bigfoot Barleywine-Style Ale,Sierra Nevada Brewing Co.,7627.0
NO,1099.0,6.3962784349408235,Dark Horizon 4.5,Nøgne Ø - Det Kompromissløse Bryggeri A/S,20.0,Brewers Reserve Barley Wine (Aged In Bourbon Barrels),Lervig Aktiebryggeri,4.428227848101268,Imperial Stout,Nøgne Ø - Det Kompromissløse Bryggeri A/S,895.0,178.0,6.442134831460677,Mikkeller Double Eye PA,Lervig Aktiebryggeri,14.0,Supersonic,Lervig Aktiebryggeri,4.1312500000000005,Two Captains,Nøgne Ø - Det Kompromissløse Bryggeri A/S,297.0,68.0,4.848529411764703,Uke øl,MikroMeyer,7.0,Aass Juleøl,Aass Brewery,3.5220512820512817,Aass Juleøl,Aass Brewery,37.0,321.0,5.9501557632398825,Belgian X,Molo Brew,17.1,Imperial Brown Ale,Nøgne Ø - Det Kompromissløse Bryggeri A/S,4.00708661417323,Brown Ale,Nøgne Ø - Det Kompromissløse Bryggeri A/S,169.0,119.0,8.836134453781517,Dark Horizon 4.5,Nøgne Ø - Det Kompromissløse Bryggeri A/S,20.0,Horizon Tokyo Black,Nøgne Ø - Det Kompromissløse Bryggeri A/S,4.306861313868612,Imperial Stout,Nøgne Ø - Det Kompromissløse Bryggeri A/S,895.0,45.0,5.14444444444444,Imperial Premiant India Pilsner,Nøgne Ø - Det Kompromissløse Bryggeri A/S,9.0,India Pale Lager,Nøgne Ø - Det Kompromissløse Bryggeri A/S,3.61625,Hansa Pilsner,Hansa Borg Bryggerier ASA,51.0,50.0,6.423999999999999,Nøgne Ø / Kissmeyer Naked Kiss,Nøgne Ø - Det Kompromissløse Bryggeri A/S,11.5,Ægir Lynchburg Natt,Ægir Bryggeri,4.182307692307693,Porter,Nøgne Ø - Det Kompromissløse Bryggeri A/S,414.0,29.0,6.248275862068965,Sparkling Sake,Nøgne Ø - Det Kompromissløse Bryggeri A/S,12.5,Kriek Of Telemark,Nøgne Ø - Det Kompromissløse Bryggeri A/S,3.8506249999999995,Krøkkebic,HaandBryggeriet,80.0,6.0,6.533333333333334,Rye IPA,Lervig Aktiebryggeri,8.5,Rye IPA,Lervig Aktiebryggeri,3.90390625,Rye IPA,Lervig Aktiebryggeri,62.0,23.0,6.95695652173913,# 1001,Nøgne Ø - Det Kompromissløse Bryggeri A/S,10.01,Underlig Jul,Nøgne Ø - Det Kompromissløse Bryggeri A/S,3.8640298507462685,Underlig Jul,Nøgne Ø - Det Kompromissløse Bryggeri A/S,199.0,15.0,6.946666666666667,Sunturnbrew,Nøgne Ø - Det Kompromissløse Bryggeri A/S,11.0,Norwegian Wood,HaandBryggeriet,3.928571428571431,Norwegian Wood,HaandBryggeriet,348.0,18.0,10.444444444444445,•Ægir Tors Hammar,Ægir Bryggeri,13.2,Brewers Reserve Barley Wine (Aged In Bourbon Barrels),Lervig Aktiebryggeri,4.428227848101268,# 100,Nøgne Ø - Det Kompromissløse Bryggeri A/S,474.0
JP,1588.0,5.686366498740552,Hakusekikan Hurricane,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",15.0,Hitachino Nest White Ale,Kiuchi Brewery,4.067815594059411,Sapporo Premium Beer,Sapporo Breweries Ltd.,2236.0,145.0,6.504137931034483,The Far East - Barrel Aged Imperial House IPA,Tamamura Honten,13.0,Coedo / Ballast Point West To East IPA,Coedo Brewery (Kyodo Shoji Koedo Brewery),3.893333333333333,Hitachino Nest Japanese Classic Ale,Kiuchi Brewery,458.0,196.0,5.2709183673469395,Sapporo Level 9,Sapporo Breweries Ltd.,9.0,Hitachino Nest Yuzu Lager,Kiuchi Brewery,3.7357142857142867,Sapporo Premium Beer,Sapporo Breweries Ltd.,2236.0,372.0,5.658870967741934,Tamamura Honten / Hair of the Dog - ECKHARDT,Tamamura Honten,12.0,Bottle-Conditioned Ale,"Ishikawa Brewery Co., Ltd",3.8935000000000004,Hitachino Nest Extra High (XH),Kiuchi Brewery,744.0,107.0,6.749532710280372,Y. Market Meitei King,Y. Market Brewing,12.7,Kuri Kuro (Dark Chestnut Ale),Hideji Beer,4.007741935483872,Hitachino Nest Espresso Stout,Kiuchi Brewery,1016.0,120.0,5.1625,Hitachino Nest Ancient Nipponia,Kiuchi Brewery,8.0,Hitachino Nest Ancient Nipponia,Kiuchi Brewery,3.842115384615385,Hitachino Nest Nipponia,Kiuchi Brewery,145.0,34.0,5.682352941176471,Baird / Pinta Baltyk-Pacific Collaboration Porter,Baird Brewing Company / Fishmarket Taproom,8.5,Ise Kadoya Imperial Smoked Porter,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,3.9292307692307684,Tokyo Black,Yo-Ho Brewing Company,218.0,85.0,5.108235294117647,Co-conspirator IPA,Devil Craft Hamamatsucho,7.3,The Carpenters Mikan Ale,Baird Brewing Company / Fishmarket Taproom,3.817073170731707,The Carpenters Mikan Ale,Baird Brewing Company / Fishmarket Taproom,39.0,4.0,5.15,Vier Korn Bier,Otaru Beer,6.0,Rye Ale,Hyouko Yashiki No Mori Brewery,3.5460000000000003,Rye Ale,Hyouko Yashiki No Mori Brewery,3.0,34.0,5.39264705882353,Hitachino Nest Commemorative Ale Zymatore - California Zinfandel Barrel,Kiuchi Brewery,10.0,Hitachino Nest Real Ginger Ale,Kiuchi Brewery,3.61686274509804,Hitachino Nest Real Ginger Ale,Kiuchi Brewery,508.0,7.0,4.971428571428572,"Cutie ""Smokin"" Honey",Ushitora Brewing,6.0,Iwatekura Smoked Ale,"Sekinoichi-shuzou, Iwate-kura Brewery",3.1733333333333333,Slightly Acidic Smoked Porter (10 To Go),Ushitora Brewing,2.0,34.0,10.370588235294118,Hakusekikan Hurricane,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",15.0,Samurai Barley Ale,Hyouko Yashiki No Mori Brewery,3.7724999999999995,Samurai Barley Ale,Hyouko Yashiki No Mori Brewery,46.0
IT,2535.0,6.4007731755424055,Strongest Than Ever BA Cognac 2013,White Pony Microbrewery,16.0,Xyauyù Barrel,Birrificio Le Baladin,4.377241379310343,Peroni Nastro Azzurro,Birra Peroni Industriale S.p.A.,2090.0,269.0,6.626765799256505,Old Antonia Calvados Barrel Aged,Birra Del Borgo,11.2,Zona Cesarini,Birra Toccalmatto,3.9912087912087904,Re Ale Extra,Birra Del Borgo,213.0,210.0,5.2257142857142815,Slalom Strong 9˚,Heineken Italia SpA,9.0,Koji Il Riso,Birrificio Del Ducato,3.6839999999999997,Peroni Nastro Azzurro,Birra Peroni Industriale S.p.A.,2090.0,907.0,6.2740352811466344,The Prophet BA Bourbon 2013,White Pony Microbrewery,13.5,Panil Barriquée (Italy Version),Panil,4.130898203592816,Panil Barriquée (Sour Version),Panil,463.0,166.0,7.268072289156629,Dying Within,White Pony Microbrewery,15.0,Verdi Imperial Stout,Birrificio Del Ducato,4.004123711340207,Brewfist / Prairie Artisan Ales Spaghetti Western,Brewfist,632.0,79.0,5.063291139240505,Big Mama Quinn,Birrificio e birreria Turbacci,10.0,My Antonia (Birra Del Borgo & Dogfish Head),Birra Del Borgo,4.011582914572864,My Antonia (Birra Del Borgo & Dogfish Head),Birra Del Borgo,396.0,61.0,6.573770491803279,Baltic Freak,Brewfist,11.0,Zumbi,White Pony Microbrewery,3.9285714285714284,X-Ray,Brewfist,48.0,86.0,6.147674418604652,Cantus Caeli,Grado Plato,10.5,Nebiulin-a,LoverBeer,4.050588235294118,My Blueberry Nightmare,Birrificio Del Ducato,269.0,8.0,5.625,Blackfir,Birrificio San Paolo,8.0,Blou,Les Bieres du Grand St. Bernard,3.2175000000000002,Blou,Les Bieres du Grand St. Bernard,2.0,83.0,6.2204819277108445,Lurisia Dodici,Birrificio Le Baladin,12.0,Baladin Nora,Birrificio Le Baladin,4.002262569832404,Baladin Nora,Birrificio Le Baladin,356.0,26.0,5.926923076923078,Imperial Ghisa,Birrificio Lambrate,8.2,Imperial Ghisa,Birrificio Lambrate,3.858181818181819,Imperial Ghisa,Birrificio Lambrate,20.0,78.0,11.89358974358975,Strongest Than Ever BA Cognac 2013,White Pony Microbrewery,16.0,Xyauyù Barrel,Birrificio Le Baladin,4.377241379310343,Xyauyù Barrel,Birrificio Le Baladin,114.0
CA,20133.0,6.092153181344081,Glacial Mammoth Extinction,Storm Brewing,25.0,Péché Mortel - Fût De Bourbon Américain,Brasserie Dieu du Ciel!,4.43979020979021,La Fin Du Monde,Unibroue,10295.0,3460.0,6.6755578034682115,Flying Monkeys Quint,Flying Monkeys Craft Brewery,18.0,Sartori Harvest IPA,Driftwood Brewery,4.366724137931036,Red Racer IPA (India Pale Ale),Central City Brewers + Distillers,1122.0,1049.0,4.993126787416586,Grande Cuvée Réserve De Noël,Les Trois Mousquetaires,11.3,Wild Oats Series No. 9 - Winter Brewed (2013),Beau's All Natural Brewing Company,4.007272727272727,Labatt Blue,Labatt Brewing Company Ltd.,2145.0,6576.0,5.786274330900248,Glacial Mammoth Extinction,Storm Brewing,25.0,Nectarous,Four Winds Brewing Co.,4.415089285714286,Trois Pistoles,Unibroue,5055.0,1518.0,7.070645586297769,Flying Monkeys Invictus Barrel Aged Russian Imperial Stout,Flying Monkeys Craft Brewery,17.5,Péché Mortel - Fût De Bourbon Américain,Brasserie Dieu du Ciel!,4.43979020979021,Péché Mortel,Brasserie Dieu du Ciel!,5250.0,460.0,5.308369565217388,Écume 11,À l’abri de la Tempête,11.0,Pilsner,Four Winds Brewing Co.,3.933333333333333,Steam Whistle Pilsner,Steam Whistle Brewing,469.0,739.0,6.39154262516915,Flying Monkeys Waffleface Maple Imperial Baltic Porter,Flying Monkeys Craft Brewery,14.5,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,4.25705020920502,Grande Cuvée Porter Baltique,Les Trois Mousquetaires,476.0,772.0,5.343354922279787,Palabre De La Gourmande,À l’abri de la Tempête,11.0,Belle Royale - Strong Belgian Cherry Ale,Driftwood Brewery,4.032187499999999,Éphémère (Apple),Unibroue,2104.0,172.0,6.032558139534886,The Red Sashes - Vin De Seigle,Brasserie Dunham,11.0,RPA (Rye Pale Ale),Cameron's Brewing Co.,4.006849315068494,Route Des Épices (Ale Rousse Au Poivre),Brasserie Dieu du Ciel!,644.0,409.0,5.805623471882636,Charlie Greg,Brasseurs Du Monde,11.9,Nickel Brook Cuvée (2015) - Bourbon Barrel Aged,Nickel Brook Brewing Co.,4.026,Rosée D'Hibiscus,Brasserie Dieu du Ciel!,785.0,127.0,5.702362204724411,"Greener Futures Project, Phase 2 - Smoked Helmut",Beau's All Natural Brewing Company,9.0,Kelp On The Way,Picaroons Traditional Ales,4.1066666666666665,Charbonniere,Brasserie Dieu du Ciel!,105.0,283.0,10.204734982332159,Flying Monkeys Riley Wine,Flying Monkeys Craft Brewery,18.0,Solstice D'hiver Réserve Spéciale En Fût De Bourbon,Brasserie Dieu du Ciel!,4.147622950819673,Solstice D'hiver,Brasserie Dieu du Ciel!,946.0
AU,3807.0,5.691688993958522,Jumping The Shark 2015,Moon Dog Craft Brewery,18.4,Hop Hog,Feral Brewing Co.,4.186026490066228,Foster's Lager,Foster's Group Limited,2125.0,456.0,6.708333333333326,Cluster 12,BentSpoke Brewing Co,12.2,Hop Hog,Feral Brewing Co.,4.186026490066228,Hop Hog,Feral Brewing Co.,149.0,358.0,4.560251396648046,Crown Ambassador Reserve Lager,Crown Beverages,9.2,Beer Geek Rage Quit,BrewCult,3.6885714285714286,Foster's Lager,Foster's Group Limited,2125.0,1349.0,5.459288361749433,Jumping The Shark 2014,Moon Dog Craft Brewery,14.1,Thorny Goat,Mountain Goat Beer Pty Ltd,4.1644,Sparkling Ale,Coopers Brewery Limited,656.0,290.0,7.029344827586212,Jumping The Shark 2015,Moon Dog Craft Brewery,18.4,Murray's Wild Thing Imperial Stout,Murray's Craft Brewing Co.,4.106037735849057,Best Extra Stout,Coopers Brewery Limited,686.0,161.0,4.9863354037267085,Dry Oaked Imperial Pils,Moon Dog Craft Brewery,8.2,Knappstein Reserve Lager,Enterprise Brewery (Knappstein Wines),3.9123255813953475,Knappstein Reserve Lager,Enterprise Brewery (Knappstein Wines),84.0,164.0,5.932926829268289,The Empress,Holgate Brewhouse / Keatings Hotel,10.0,The Empress,Holgate Brewhouse / Keatings Hotel,3.822941176470588,James Squire Porter,Malt Shovel Brewery,121.0,102.0,5.042156862745098,Billy B's Golden Malted Apple Beer,Thorogoods of Burra,12.0,The Wild Mongrel,Nomad Brewing Company,3.69125,Pepperjack Hand Crafted Ale,Saltram of Barossa,29.0,25.0,5.628000000000001,World's Greatest Dad,Brewtal Brewers,7.1,Supa Fly Rye IPA,BrewCult,3.6566666666666667,Horns Up,HopDog BeerWorks,13.0,69.0,5.414492753623189,Red Duck RA#2 Imperial Egyptian Bread Beer,Purrumbete Brewing Company (Red Duck),11.3,Black Wattle Superior Wattle Seed Ale,Barons Brewing Company,3.5882634730538916,Black Wattle Superior Wattle Seed Ale,Barons Brewing Company,165.0,24.0,6.4375,Super Beast 2013,HopDog BeerWorks,10.5,Smokey Breakfast Lager,Bridge Road Brewers,3.6149999999999998,Smoked Porter,Feral Brewing Co.,37.0,43.0,10.748837209302327,Murray's Anniversary Ale 6 (2011),Murray's Craft Brewing Co.,15.0,Nordic Saddle Buffer,Moon Dog Craft Brewery,3.8709090909090906,Grand Ridge Supershine,Grand Ridge Brewing Co.,20.0
SE,3189.0,6.034230166196301,Hornstull Pepparkaksmonster,Pang Pang Brewery,19.0,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,4.589666666666669,Nebuchadnezzar,Omnipollo,722.0,526.0,6.665304182509507,Sigtuna Ace Of Spades 2011,Sigtuna Brygghus,15.0,Omnipollo / Trillium - Covered in Puppies,Omnipollo,4.297706422018349,Nebuchadnezzar,Omnipollo,722.0,496.0,4.823588709677414,"Arboga 10,2",Galatea AB,10.2,Tjockhult Tjinook,Nynäshamns Ångbryggeri,3.6871875000000003,Pistonhead Kustom Lager,Spendrups Bryggeri AB,77.0,844.0,5.6052251184834185,Bröderna Andersson's Brutala Super Saison Oak Edition,Monks Porter House,16.1,Stillwater / Dugges - Tropic Punch Ale,Dugges Ale- & Porterbryggeri AB,4.269691629955949,Stillwater / Dugges - Tropic Punch Ale,Dugges Ale- & Porterbryggeri AB,225.0,275.0,9.302545454545452,Sigtuna Ace Of Spades,Sigtuna Brygghus,18.5,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,4.589666666666669,Noa Pecan Mud Cake,Omnipollo,488.0,126.0,5.018253968253968,Skatkobben,Nynäshamns Ångbryggeri,8.2,Oppigårds Bergsmansöl,Oppigårds Bryggeri AB,3.9079629629629635,Oppigårds Bergsmansöl,Oppigårds Bryggeri AB,52.0,122.0,6.7545081967213125,Acoustic Porter,Malmö Brewing Co,14.2,Lorelei - Barrel-Aged Extra Maple,Omnipollo,4.353,"Carnegie Porter 5,5%",Carlsberg Sverige AB,592.0,44.0,5.488636363636363,Zwarte Bessen,Malmö Brewing Co,13.0,Omnipollo / Buxton - Original Lemon Meringue Ice Cream Pils,Omnipollo,4.040000000000001,Syrligt,Dugges Ale- & Porterbryggeri AB,50.0,4.0,5.3500000000000005,Jonsson Råg Ale,Qvänum Mat & Malt,5.8,Jonsson Råg Ale,Qvänum Mat & Malt,3.1316666666666664,Jonsson Råg Ale,Qvänum Mat & Malt,4.0,47.0,5.778723404255321,Arketyp Dogfish Head Collaboration,Nynäshamns Ångbryggeri,10.0,Mimer Gotlandsdricka (collab With Dundulis),Närke Kulturbryggeri AB,3.5324999999999998,Mysingen Midvinterbrygd,Nynäshamns Ångbryggeri,26.0,18.0,6.594444444444444,Fimbulvinter,Närke Kulturbryggeri AB,10.0,Rökporter,Nils Oscar,3.929142857142858,Rökporter,Nils Oscar,68.0,51.0,10.482352941176472,Mohawk Double Rocket,AB Mohawk Brewing Company,17.2,Bötet Barley Wine,Nynäshamns Ångbryggeri,3.9025714285714277,Barley Wine,Nils Oscar,114.0
PR,70.0,5.815000000000002,Cerveza Taina - Imperial IPA,Old Harbor Brewery,8.5,Cerveza Kofresi,Old Harbor Brewery,3.778813559322035,Medalla Light,Compañía Cervecera de Puerto Rico,213.0,9.0,6.922222222222222,Cerveza Taina - Imperial IPA,Old Harbor Brewery,8.5,Ocean IPA,Ocean Lab Brewing Company,3.7485714285714287,IPA,Old Harbor Brewery,11.0,8.0,5.09375,Zurc / Stone - Ráfaga,Zurc Bräuhaus Craft Beers,6.7,Taina,Old Harbor Brewery,3.678,Medalla Light,Compañía Cervecera de Puerto Rico,213.0,23.0,5.76086956521739,La Negra,Boquerón Brewing Co.,8.0,Cerveza Taina - IPA,Old Harbor Brewery,3.651666666666667,Old Harbor Pale Ale,Old Harbor Brewery,46.0,6.0,5.966666666666666,Dacay Oatmeal Stout,Cerveceria Sothego,6.7,Cerveza Kofresi,Old Harbor Brewery,3.778813559322035,Cerveza Kofresi,Old Harbor Brewery,57.0,1.0,5.5,Santo Viejo,Old Harbor Brewery,5.5,Santo Viejo,Old Harbor Brewery,3.6022448979591837,Santo Viejo,Old Harbor Brewery,47.0,3.0,6.033333333333334,Porter Rican - Chocolate Porter,Ingeniero Microbrewery,6.5,Porter Rican - Chocolate Porter,Ingeniero Microbrewery,3.436,Cerveza Taina - Smoked Porter,Old Harbor Brewery,3.0,4.0,4.9625,Ocean Blue,Ocean Lab Brewing Company,5.8,Ocean Mambo,Ocean Lab Brewing Company,3.1533333333333338,Buccoo Bay Lemon Lager,Compañía Cervecera de Puerto Rico,4.0,1.0,7.5,Double Roggen,Zurc Bräuhaus Craft Beers,7.5,Double Roggen,Zurc Bräuhaus Craft Beers,2.9599999999999995,Double Roggen,Zurc Bräuhaus Craft Beers,1.0,,,,,,,,,,,,1.0,5.8,Cerveza Taina - Smoked Porter,Old Harbor Brewery,5.8,Cerveza Taina - Smoked Porter,Old Harbor Brewery,2.9859999999999998,Cerveza Taina - Smoked Porter,Old Harbor Brewery,3.0,,,,,,,,,,,
PL,1775.0,5.9916957746478925,Ragnar Wymrażany,Browar Trzech Kumpli,16.0,Okocim Porter,Browar Okocim S.A. (Carlsberg),4.113952641165756,Zywiec Beer,Zywiec Breweries PLC (Heineken),977.0,294.0,6.349319727891159,Quatro,Browar Pinta,11.0,Atak Chmielu,Browar Pinta,3.8260606060606057,Atak Chmielu,Browar Pinta,31.0,349.0,5.7805157593123235,Karpackie Super,Browar Van Pur S.A. (Brau Union Polska),9.0,Palone,Browar Okocim S.A. (Carlsberg),3.678316831683167,Zywiec Beer,Zywiec Breweries PLC (Heineken),977.0,348.0,5.395402298850578,Kwas Theta,Browar Pinta,10.2,Kwas Epsilon,Browar Pinta,3.77625,Żywiec APA,Zywiec Breweries PLC (Heineken),25.0,178.0,7.51797752808989,Solaris,Browar Raduga,15.0,Samiec Alfa - Bourbon Barrel,Browar Artezan,3.985555555555556,Smoky Joe,AleBrowar,13.0,89.0,5.152808988764044,Panzer Lager,Beer Bros.,10.7,Barrel Aged Pilsener,Browar Jabłonowo S.C.,3.566666666666667,Okocim Beer,Browar Okocim S.A. (Carlsberg),135.0,86.0,8.71627906976744,Ragnar Wymrażany,Browar Trzech Kumpli,16.0,Okocim Porter,Browar Okocim S.A. (Carlsberg),4.113952641165756,Porter,Zywiec Breweries PLC (Heineken),851.0,77.0,4.5748051948051955,Saxy Berry Black Currant,Doctor Brew,10.0,Ciechan Miodowe (Honey),Browar Ciechan,3.806363636363636,Warka Radler (Lemonade),Browary Warka Sp. z o.o.,23.0,13.0,5.361538461538462,Ryeus,Browar Palatum,7.0,Bojan Maorys,Browar Bojanowo,3.3299999999999996,Orkiszowe,Browar Kormoran,7.0,29.0,5.375862068965516,Jopejskie,Browar Olimp,8.5,Piwo Na Miodzie Gryczanym,Browar Jabłonowo S.C.,3.4729411764705884,Piwo Na Miodzie Gryczanym,Browar Jabłonowo S.C.,15.0,34.0,5.161764705882353,Imperialny Nafciarz,Brokreacja,10.0,Kingpin Aficionado,Browar Kingpin,3.645,Piwo Z Grodziska,Browar w Grodzisku Wielkopolskim,17.0,22.0,10.254545454545452,Meteor,Browar Raduga,14.0,Hard Bride,AleBrowar,3.4459999999999993,WRCLW Barley Wine Rum BA,Browar Stu Mostów,4.0
CR,106.0,5.635849056603774,Quadrupel,O.S. Beer Co. (El Gaff),11.0,Segua,Costa Rica's Craft Brewing Co.,3.696363636363636,Imperial,Cerveceria Costa Rica,564.0,24.0,6.645833333333335,Arcturus,Bri Bri Springs Brewery,8.4,Cenosillicafobia,Treintaycinco Fábrica de Cervezas,3.482,La Pelona,Treintaycinco Fábrica de Cervezas,7.0,12.0,4.325,Bavaria Dark Beer,Cerveceria Costa Rica,5.0,Japi Endin,Treintaycinco Fábrica de Cervezas,3.165,Imperial,Cerveceria Costa Rica,564.0,32.0,5.53125,Quadrupel,O.S. Beer Co. (El Gaff),11.0,Segua,Costa Rica's Craft Brewing Co.,3.696363636363636,Segua,Costa Rica's Craft Brewing Co.,42.0,5.0,6.82,Mendeleev,Costa Rica's Craft Brewing Co.,9.0,Pelafustan,Treintaycinco Fábrica de Cervezas,3.3925,Pelafustan,Treintaycinco Fábrica de Cervezas,2.0,8.0,5.475,Medusa,Caldero Brewing Company,8.0,Da Wal Hoppy Pils,Domingo 7: La Micro Brewing Co.,3.1666666666666665,Pilsen,Cerveceria Costa Rica,84.0,2.0,6.9,Mama Candela,Treintaycinco Fábrica de Cervezas,7.8,Mama Candela,Treintaycinco Fábrica de Cervezas,3.4545454545454546,Mama Candela,Treintaycinco Fábrica de Cervezas,9.0,5.0,4.819999999999999,Rock Ice Limon,Cerveceria Costa Rica,5.2,Tumba Calzones,Treintaycinco Fábrica de Cervezas,3.3114285714285714,Rock Ice Limon,Cerveceria Costa Rica,10.0,,,,,,,,,,,,1.0,5.0,Chili Birra,Lake Arenal Hotel & Brewery,5.0,Chili Birra,Lake Arenal Hotel & Brewery,3.1075,Chili Birra,Lake Arenal Hotel & Brewery,2.0,,,,,,,,,,,,1.0,9.8,Maldita Vida,Treintaycinco Fábrica de Cervezas,9.8,Maldita Vida,Treintaycinco Fábrica de Cervezas,3.436363636363636,Maldita Vida,Treintaycinco Fábrica de Cervezas,9.0
